trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
14,False,"{'a': 0.5, 'e': 0.9999020016006562}",25,0,-159.53527040238748,"{0: 15, 1: 2, 2: 5, 3: 0, 4: 3}",0
15,False,"{'a': 0.5, 'e': 0.9998875021093592}",20,0,-62.33429205575776,"{0: 11, 1: 2, 2: 7, 3: 0, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.9998720027306434}",20,0,-146.4634444364406,"{0: 12, 1: 1, 2: 4, 3: 0, 4: 3}",0
17,False,"{'a': 0.5, 'e': 0.9998555034800082}",20,0,-105.83307405208241,"{0: 13, 1: 0, 2: 4, 3: 2, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.9998380043739528}",20,0,-56.3744969540814,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.9998195054299763}",20,0,-66.03039565004951,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': 0.9998000066665778}",20,0,-69.91399524568905,"{0: 13, 1: 3, 2: 1, 3: 3, 4: 0}",0
21,False,"{'a': 0.5, 'e': 0.9997795081032559}",25,0,-24.686018805000035,"{0: 19, 1: 2, 2: 4, 3: 0, 4: 0}",0
22,False,"{'a': 0.5, 'e': 0.9997580097605092}",35,0,-115.17782776213407,"{0: 19, 1: 7, 2: 8, 3: 1, 4: 0}",0
23,False,"{'a': 0.5, 'e': 0.9997355116598361}",25,0,-67.84365776374773,"{0: 19, 1: 2, 2: 2, 3: 1, 4: 1}",0
24,False,"{'a': 0.5, 'e': 0.9997120138237345}",20,0,-91.58113147339803,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
25,False,"{'a': 0.5, 'e': 0.9996875162757026}",20,0,-16.189302709371123,"{0: 14, 1: 6, 2: 0, 3: 0, 4: 0}",0
26,False,"{'a': 0.5, 'e': 0.9996620190402377}",25,0,-75.24253559625782,"{0: 16, 1: 3, 2: 4, 3: 2, 4: 0}",0
27,False,"{'a': 0.5, 'e': 0.9996355221428369}",20,0,-158.86116795068088,"{0: 7, 1: 5, 2: 6, 3: 0, 4: 2}",0
28,False,"{'a': 0.5, 'e': 0.9996080256099974}",30,0,-164.1758649396587,"{0: 15, 1: 4, 2: 8, 3: 2, 4: 1}",0
29,False,"{'a': 0.5, 'e': 0.9995795294692156}",30,0,-225.0124924427581,"{0: 17, 1: 2, 2: 6, 3: 1, 4: 4}",0
30,False,"{'a': 0.5, 'e': 0.9995500337489875}",30,0,-81.05336753687622,"{0: 22, 1: 5, 2: 1, 3: 0, 4: 2}",0
31,False,"{'a': 0.5, 'e': 0.999519538478809}",20,6,-86.47181057957961,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 2}",1
32,False,"{'a': 0.5, 'e': 0.9994880436891754}",30,0,-161.70450088620086,"{0: 20, 1: 2, 2: 5, 3: 0, 4: 3}",0
33,False,"{'a': 0.5, 'e': 0.9994555494115813}",30,0,-129.2610858563216,"{0: 21, 1: 1, 2: 5, 3: 1, 4: 2}",0
34,False,"{'a': 0.5, 'e': 0.9994220556785212}",25,0,-126.5532230374395,"{0: 19, 1: 1, 2: 2, 3: 0, 4: 3}",0
35,False,"{'a': 0.5, 'e': 0.9993875625234886}",30,1,-94.82339577097007,"{0: 21, 1: 0, 2: 6, 3: 1, 4: 1}",1
36,False,"{'a': 0.5, 'e': 0.9993520699809768}",25,0,-116.33449332231864,"{0: 16, 1: 6, 2: 0, 3: 1, 4: 2}",1
37,False,"{'a': 0.5, 'e': 0.9993155780864782}",25,0,-189.6923167270412,"{0: 13, 1: 1, 2: 6, 3: 3, 4: 2}",0
38,False,"{'a': 0.5, 'e': 0.9992780868764849}",20,0,-146.32034495324726,"{0: 12, 1: 1, 2: 4, 3: 0, 4: 3}",0
39,False,"{'a': 0.5, 'e': 0.999239596388488}",30,0,-163.40085723811129,"{0: 19, 1: 4, 2: 4, 3: 0, 4: 3}",0
40,False,"{'a': 0.5, 'e': 0.9992001066609779}",20,0,-147.52014937499078,"{0: 9, 1: 3, 2: 6, 3: 0, 4: 2}",0
